days before 2023-06-06 ,co2
0,415.62
1,415.65
2,415.73
3,416.0
4,416.06
5,416.06
6,416.37
7,415.67
8,416.14
9,417.02
10,416.33
11,416.52
12,416.55
13,417.73
14,416.83
15,417.94
16,417.02
17,416.95
18,417.37
19,417.55
20,417.37
21,418.08
22,418.47
23,418.51
24,418.83
25,418.93
26,418.77
27,418.1
28,418.16
29,417.31
30,419.23
31,419.42
32,419.43
33,419.4
34,419.55
35,419.53
36,419.44
37,419.37
38,419.32
39,419.1
40,419.62
41,419.14
42,419.31
43,419.28
44,419.25
45,419.32
46,420.73
47,420.07
48,419.29
49,419.28
50,419.07
51,419.03
52,419.71
53,419.94
54,419.69
55,419.69
56,420.36
57,419.71
58,420.14
59,419.69
60,419.39
61,419.43
62,419.81
63,420.03
64,420.03
65,420.47
66,419.98
67,419.46
68,420.12
69,420.24
70,420.33
71,421.15
72,421.2
73,421.18
74,421.32
75,421.2
76,420.26
77,420.0
78,420.57
79,420.58
80,421.23
81,421.62
82,422.48
83,422.49
84,421.35
85,421.33
86,421.44
87,421.36
88,420.85
89,420.74
90,421.95
91,421.83
92,419.69
93,419.64
94,420.24
95,420.32
96,420.62
97,420.64
98,420.75
99,420.82
100,420.73
101,420.95
102,420.91
103,421.4
104,421.6
105,421.85
106,422.4
107,421.91
108,422.54
109,422.74
110,422.74
111,422.69
112,423.01
113,422.37
114,422.04
115,421.7
116,422.29
117,423.06
118,423.23
119,422.97
120,424.3
121,424.09
122,422.89
123,423.25
124,422.68
125,423.23
126,423.64
127,423.96
128,424.78
129,424.34
130,424.6
131,425.01
132,424.47
133,424.49
134,424.45
135,424.17
136,424.32
137,423.9
138,424.16
139,424.48
140,424.31
141,424.27
142,424.49
143,423.31
144,422.07
145,422.39
146,423.68
147,423.75
148,424.02
149,423.66
150,423.7
151,424.03
152,423.23
153,424.57
154,424.71
155,424.76
156,424.66
157,424.65
158,424.43
159,424.58
160,424.72
161,424.87
162,424.72
163,424.43
